"IdPregunta","Desde","Hasta","Valor","Porcentaje","Comentarios"
"10105","0.0","100.0","31000.0","0",""
"10105","101.0","250.0","29000.0","0",""
"10105","251.0","999999999.0","26000.0","0",""
"10405","201.0","999999999.0","35000.0","0",""
"10205","201.0","999999999.0","35000.0","0",""
"10505","201.0","999999999.0","35000.0","0",""
"10405","101.0","200.0","32000.0","0",""
"30115","0.0","100.0","1000.0","0",""
"30115","101.0","200.0","800.0","0",""
"30115","201.0","999999999.0","600.0","0",""
"50","0.0","150.0","34500.0","0",""
"50","151.0","300.0","33920.0","0",""
"50","301.0","500.0","32000.0","0",""
"50","501.0","1000.0","30400.0","0",""
"30205","0","100","34683","0",""
"30205","101","200","34340","0",""
"30205","201","300","34000","0",""
"30205","301","400","33663","0",""
"30205","401","500","33330","0",""
"30205","501","600","33000","0",""
"30205","601","700","32670","0",""
"30205","701","800","32343","0",""
"30205","801","900","32020","0",""
"30205","901","1000","31700","0",""
"30205","1001","1100","31383","0",""
"30205","1101","1200","31069","0",""
"30205","1201","1300","30758","0",""
"30205","1301","1400","30451","0",""
"30205","1401","1500","30146","0",""
"30205","1501","1600","29845","0",""
"30205","1601","1700","29546","0",""
"30205","1701","1800","29251","0",""
"30205","1801","1900","28958","0",""
"30205","1901","2000","28669","0",""
"2007","0","20","20","0","Rango de 0 a 20 horas"
"2007","21","40","40","-1","Rango de 21 a 40 horas"
"2007","41","60","60","-2","Rango de 41 a 60 horas"
"2007","61","100","100","-3","Rango de 61 a 100 horas"
"2007","101","150","150","-4","Rango de 101 a 150 horas"
